[0.00s -> 29.36s]  I don't know.
[3815.62s -> 3817.62s]  Société Anonyme
[3817.62s -> 3819.62s]  Société Anonyme
[3819.62s -> 3821.62s]  KBC Bank NV plus branches
[3821.62s -> 3823.62s]  it means that all the branches
[3823.62s -> 3825.62s]  Shanghai
[3825.62s -> 3827.62s]  Internet New York
[3827.62s -> 3829.62s]  France
[3829.62s -> 3831.62s]  whatever, all these branches
[3831.62s -> 3833.62s]  are included
[3833.62s -> 3835.62s]  they are part of KBC Bank NV
[3835.62s -> 3837.62s]  so this is an entity
[3837.62s -> 3839.62s]  that will have to report
[3839.62s -> 3841.62s]  all its contracts, it's the main
[3841.62s -> 3843.62s]  then we have the French
[3843.62s -> 3845.62s]  it's a separate legal entity
[3845.62s -> 3847.58s]  CBC Bank
[3847.58s -> 3853.90s]  so it's a separate entity then we have kbc securities nv the other guys who provide the
[3853.90s -> 3863.98s]  bolero app yeah to invest kbc asset management mv and all its branches kbc insurance for zake
[3865.66s -> 3873.82s]  vab it's a travel agency it's in scope of dora auto lease pension phone service
[3873.82s -> 3884.62s]  uh yeah then pension fund kbc but it's yeah it's well it's too detailed to explain now
[3886.30s -> 3890.22s]  this guy is an intra group provider
[3891.82s -> 3903.26s]  um for any um anti money laundering controls they have to report us no they uh it's an
[3903.26s -> 3903.74s]  interview
[3903.82s -> 3909.50s]  service provider and this intra group service for like kbc global services is an intra group
[3909.50s -> 3915.26s]  service provider an integral provider this is an entity you know for example yeah provider
[3916.30s -> 3926.86s]  yes and this element is a part of of entity no no no it's separate it belongs to the group
[3928.70s -> 3930.86s]  on the highest level you have kbc group
[3932.70s -> 3933.50s]  and then you have
[3933.82s -> 3942.14s]  65 legal entities belonging to the group from those 65 these are in scope of dora only these
[3944.38s -> 3947.26s]  so this intra group intra group intra group
[3948.06s -> 3955.26s]  then you have in bulgaria united bulgarian bank you have the insurance company in
[3955.26s -> 3962.70s]  bulgaria which is called dzi general insurance life insurance pension insurance then you have
[3963.18s -> 3967.18s]  in czech republic chair the bay bank hypothecny bank
[3969.66s -> 3976.78s]  leasing patria patria blah blah blah in hungary knh bank
[3977.66s -> 3981.42s]  is this then in slovakia you have this
[3982.54s -> 3988.38s]  yeah then in ireland you have yeah fund management limited
[3990.78s -> 3992.38s]  cheers by asset management
[3993.26s -> 3998.46s]  asset management luxembourg this is the reinsurer of the group
[4000.70s -> 4003.42s]  you know what reinsurance is the insurance yeah
[4004.62s -> 4013.66s]  yeah yeah yeah yeah and this is i don't know i don't think these are in scope but we will see
[4014.38s -> 4022.38s]  okay what does that excuse me yeah you just the country code is okay not entity is name of entity
[4022.70s -> 4029.74s]  in scope in scope in scope of the order in scope of the order okay and am what does mean uh asset
[4029.74s -> 4035.90s]  management asset management yes or no is it is it asset management belong to asset management yes or no
[4035.90s -> 4040.22s]  and just asset management practice the definition in this context
[4044.14s -> 4048.70s]  asset management is an entity within kbc group yes kbc asset management
[4050.22s -> 4051.58s]  that manage
[4052.86s -> 4061.18s]  financial assets so mutual funds yeah um you can buy stock from mutual
[4061.18s -> 4072.14s]  funds and they manage this this uh this asset is yes yeah so um and it's just that
[4072.14s -> 4077.74s]  the guy from deloitte wanted to know what is exactly belonging to asset management and what not
[4077.74s -> 4081.98s]  so it's it for the rest it has no meaning in this column yeah it's not important
[4082.70s -> 4093.70s]  Okay, look, scope, the responsible thing, the contact, the column contacts, okay, the information.
[4093.70s -> 4101.70s]  Well, this is the point of contact, so it's my responsibility, these are my responsibility,
[4101.70s -> 4105.70s]  these are the guy in Bulgaria's responsibility.
[4105.70s -> 4111.70s]  So these are the program managers, group-wide, different program managers.
[4111.70s -> 4118.70s]  And the entire program management of the group is now in the hands of Deloitte.
[4118.70s -> 4124.70s]  So we ask Deloitte, you will be the program manager for the group overall.
[4124.70s -> 4131.70s]  So you will report, actually they are going to report on the status of each country.
[4131.70s -> 4138.70s]  So I sit together with Luca Gentile, he's from the group, he's from Deloitte,
[4138.70s -> 4141.70s]  and I sit together every two weeks at least.
[4141.70s -> 4145.70s]  To tell him what is the status of my program in Belgium.
[4145.70s -> 4147.70s]  Is something at risk?
[4147.70s -> 4149.70s]  So your tool was at risk.
[4149.70s -> 4154.70s]  It colored orange on the latest project, STIRCO.
[4154.70s -> 4158.70s]  And the reason was we don't have a functional analyst.
[4158.70s -> 4160.70s]  We can't find any internally.
[4160.70s -> 4162.70s]  Very strange.
[4162.70s -> 4169.70s]  3,000 ideas, no one single functional analyst wanted or was able to work on this program.
[4169.70s -> 4170.70s]  They all had work.
[4171.70s -> 4174.70s]  Which is crazy, of course.
[4174.70s -> 4178.70s]  So then the BSC decided, okay, go externally, immediately.
[4178.70s -> 4184.70s]  And then I entered in field was, okay, I want senior control analyst, blah, blah, blah, blah, blah.
[4184.70s -> 4190.70s]  And then now the next STIRCO, Friday, this week, I will report, aha, we have one.
[4190.70s -> 4193.70s]  We have somebody who is working.
[4193.70s -> 4194.70s]  Okay.
[4194.70s -> 4195.70s]  Yeah.
[4195.70s -> 4197.70s]  So that's how it goes.
[4197.70s -> 4200.70s]  And okay, comments to KBS, comments to Deloitte, okay.
[4200.70s -> 4201.70s]  Yeah.
[4201.70s -> 4202.70s]  This is comments for.
[4202.70s -> 4203.70s]  It's not.
[4203.70s -> 4204.70s]  Okay.
[4204.70s -> 4205.70s]  Okay.
[4205.70s -> 4206.70s]  Yeah.
[4206.70s -> 4207.70s]  Okay.
[4207.70s -> 4208.70s]  It's not really.
[4208.70s -> 4209.70s]  That's important.
[4209.70s -> 4210.70s]  I just want.
[4210.70s -> 4211.70s]  Yeah.
[4211.70s -> 4212.70s]  This is an overview of all the companies of KBC Group.
[4212.70s -> 4213.70s]  It could be interesting for you.
[4213.70s -> 4214.70s]  Look, it's quite big.
[4214.70s -> 4215.70s]  Yeah.
[4215.70s -> 4216.70s]  So this is KBC Group level one.
[4216.70s -> 4217.70s]  If we.
[4217.70s -> 4218.70s]  Level one.
[4218.70s -> 4219.70s]  If we take level two.
[4219.70s -> 4220.70s]  Level three.
[4220.70s -> 4221.70s]  Level four.
[4221.70s -> 4222.70s]  Level five.
[4222.70s -> 4223.70s]  Level six.
[4223.70s -> 4224.70s]  Level seven.
[4224.70s -> 4225.70s]  Level eight.
[4225.70s -> 4226.70s]  Level nine.
[4226.70s -> 4227.70s]  Level 10.
[4227.70s -> 4228.70s]  Level 11.
[4228.70s -> 4229.70s]  Level 12.
[4229.70s -> 4230.70s]  Level 13.
[4230.70s -> 4231.70s]  Level 14.
[4231.70s -> 4232.70s]  Then we have.
[4232.70s -> 4233.70s]  This is part of KBC Group and V.
[4233.70s -> 4234.70s]  And level three.
[4234.70s -> 4235.70s]  And level four.
[4235.70s -> 4236.70s]  The most detailed level.
[4236.70s -> 4237.70s]  Yeah.
[4237.70s -> 4247.70s]  So all these legal entities are part of KBC Group.
[4247.70s -> 4252.70s]  All.
[4252.70s -> 4257.70s]  All of these.
[4257.70s -> 4258.70s]  Yeah.
[4258.70s -> 4259.70s]  So, this is the.
[4259.70s -> 4264.58s]  so this is on level three and here we will see
[4268.18s -> 4272.74s]  and some of those are in scope of dora and others are not in scope of dora
[4272.74s -> 4279.38s]  yeah so kbc bank consists of all these things
[4279.38s -> 4288.10s]  kbc bank from kbc bank mv yeah liverpool yeah
[4295.22s -> 4301.38s]  so so kbc yeah kbc bank nv yeah
[4307.62s -> 4308.74s]  but this structure
[4309.38s -> 4315.38s]  uh it will be explained it will also be explained um so for example kbc asset
[4315.38s -> 4322.26s]  payment is part of kbc bank yeah of kbc bank envy envy yeah it's something else than
[4323.06s -> 4328.50s]  the business unit belgium bank banking yeah business unit belgium banking
[4329.78s -> 4338.02s]  um yeah it's it's not easy to explain because it's it's confusing you have kbc bank and v
[4339.38s -> 4347.62s]  what belongs to kbc banking v yeah it's of course the business unit of the banking business unit but
[4347.62s -> 4354.18s]  it's as such not a legal entity the banking business unit kbc banking v is a legal entity yeah
[4356.90s -> 4368.82s]  and these are all legal entities yeah and kbc asset management is also part of kbc bank envy
[4369.62s -> 4374.58s]  yeah and even the czech bank chairs of their bank where is it
[4375.14s -> 4379.06s]  here jsa bank is part of kvc bank envy
[4386.98s -> 4396.18s]  yeah it's it's a bit complicated and then how much percentage of do we own yeah
[4397.22s -> 4397.94s]  consolidate
[4399.38s -> 4417.38s]  Consolidation percentage, how much percentage do we own, you will see it's a financial consolidation.
[4417.38s -> 4422.38s]  So for example, you will see things you know.
[4429.38s -> 4436.38s]  You know Emoscope, if you want to buy a house?
[4436.38s -> 4438.38s]  No, we don't know.
[4438.38s -> 4443.38s]  We have a big website.
[4443.38s -> 4446.38s]  I know Emozino Grammar.
[4446.38s -> 4448.38s]  Just below.
[4448.38s -> 4450.38s]  Yes.
[4450.38s -> 4455.38s]  So we have 100%, it's part of 100% from KBC.
[4455.38s -> 4458.38s]  Maybe you didn't know it.
[4458.38s -> 4459.38s]  Yes.
[4459.38s -> 4461.38s]  It's a certificate.
[4461.38s -> 4462.38s]  Yes.
[4462.38s -> 4470.38s]  But for what it's worth.
[4470.38s -> 4474.38s]  You don't really have to use this.
[4474.38s -> 4480.38s]  But it's also available.
[4480.38s -> 4482.38s]  So we started from that.
[4482.38s -> 4488.38s]  Yeah, there is a lot of info.
[4488.38s -> 4489.38s]  There is a lot of info.
[4489.38s -> 4492.38s]  There is a lot of interesting information.
[4492.38s -> 4497.38s]  We will put everything what is interesting for you.
[4497.38s -> 4506.38s]  Just is it possible to put the relevant documents that I can start analyzing?
[4506.38s -> 4512.38s]  Yeah, I think the first, look Munir space is still empty.
[4512.38s -> 4514.38s]  That's your space.
[4514.38s -> 4518.38s]  So everything what you produce, even if it's in draft, it doesn't matter.
[4518.38s -> 4520.38s]  Working document doesn't matter.
[4520.38s -> 4522.38s]  Produce it and put it there.
[4522.38s -> 4523.38s]  Okay.
[4523.38s -> 4525.38s]  Not on your private, not here or whatever.
[4525.38s -> 4526.38s]  Just.
[4526.38s -> 4527.38s]  Okay.
[4527.38s -> 4528.38s]  I understand.
[4528.38s -> 4529.38s]  Even if it's rubbish or draft, it doesn't matter.
[4529.38s -> 4530.38s]  Put it there.
[4530.38s -> 4531.38s]  Under your space and you decide how you will want to create new folder, whatever.
[4531.38s -> 4532.38s]  It's.
[4532.38s -> 4533.38s]  Okay.
[4533.38s -> 4534.38s]  You are the owner of that.
[4534.38s -> 4535.38s]  I will put.
[4535.38s -> 4536.38s]  I will put.
[4536.38s -> 4537.38s]  I will put.
[4537.38s -> 4538.38s]  I will put.
[4538.38s -> 4539.38s]  I will put.
[4539.38s -> 4540.38s]  I will put.
[4540.38s -> 4541.38s]  I will put.
[4541.38s -> 4542.38s]  I will put.
[4542.38s -> 4543.38s]  I will put.
[4543.38s -> 4544.38s]  I will put.
[4544.38s -> 4545.38s]  I will put.
[4545.38s -> 4546.38s]  I will put.
[4546.38s -> 4547.38s]  I will put.
[4547.38s -> 4548.38s]  I will put.
[4548.38s -> 4549.38s]  I will put.
[4549.38s -> 4550.38s]  I will put.
[4550.38s -> 4551.38s]  I will put.
[4551.38s -> 4552.38s]  I will put.
[4552.38s -> 4553.38s]  I will put.
[4553.38s -> 4554.38s]  I will put.
[4554.38s -> 4555.38s]  I will put.
[4555.38s -> 4556.38s]  I will put.
[4556.38s -> 4557.38s]  I will put.
[4557.38s -> 4558.38s]  I will put.
[4558.38s -> 4559.38s]  I will put.
[4559.38s -> 4560.38s]  I will put.
[4560.38s -> 4561.38s]  I will put.
[4561.38s -> 4562.38s]  I will put.
[4562.38s -> 4563.38s]  I will put.
[4563.38s -> 4564.38s]  I will put.
[4564.38s -> 4565.38s]  I will put.
[4565.38s -> 4566.38s]  I will put.
[4566.38s -> 4567.38s]  I will put.
[4567.38s -> 4568.38s]  I will put.
[4568.38s -> 4569.38s]  I will put.
[4569.38s -> 4570.38s]  I will put.
[4570.38s -> 4571.38s]  I will put.
[4571.38s -> 4572.38s]  I will put.
[4572.38s -> 4573.38s]  I will put.
[4573.38s -> 4574.38s]  I will put.
[4574.38s -> 4575.38s]  I will put.
[4575.38s -> 4576.38s]  I will put.
[4576.38s -> 4600.38s]  So I'm going to copy the link. Then go back. Files. Scope E. Near. Near Space. New. Link. Bump. Control V. And I'm going to...
[4606.38s -> 4630.38s]  So I already put one link there. So it's Scope BA. Scope E. Near. Space. And there is one link.
[4630.38s -> 4635.38s]  And that's the legal document. If you want to print it out.
[4635.38s -> 4642.38s]  Do you want to print it?
[4642.38s -> 4646.38s]  It's easier for me if I can read it.
[4646.38s -> 4657.38s]  Download it.
[4657.38s -> 4664.38s]  Do you want to print it?
[4664.38s -> 4671.38s]  Do you want to show how you print it?
[4671.38s -> 4675.38s]  No, not here.
[4675.38s -> 4678.38s]  Wait, wait, wait.
[4678.38s -> 4680.38s]  Aha, we have to...
[4680.38s -> 4681.38s]  This?
[4681.38s -> 4683.38s]  No, no, no.
[4683.38s -> 4686.38s]  I think the option is not already...
[4686.38s -> 4688.38s]  Available?
[4688.38s -> 4691.38s]  No, not yet available.
[4691.38s -> 4693.38s]  We have to connect.
[4694.38s -> 4695.38s]  No, okay.
[4695.38s -> 4696.38s]  I have to ask...
[4696.38s -> 4698.38s]  Because I have another...
[4698.38s -> 4700.38s]  This is Glow.
[4700.38s -> 4702.38s]  We call it Glow PC.
[4702.38s -> 4703.38s]  And this is Flex.
[4703.38s -> 4704.38s]  Flexo.
[4704.38s -> 4705.38s]  Flex.
[4705.38s -> 4708.38s]  And it's a new system.
[4708.38s -> 4711.38s]  System, yes.
[4711.38s -> 4714.38s]  Where everything is on the Internet.
[4714.38s -> 4715.38s]  Ah, okay.
[4715.38s -> 4718.38s]  Here are things locally stored.
[4718.38s -> 4723.38s]  And here we go to the Internet to use all software.
[4723.38s -> 4725.38s]  Tools, etc.
[4725.38s -> 4727.38s]  While here it's more locally.
[4727.38s -> 4729.38s]  It's more locally, yes.
[4729.38s -> 4734.38s]  So for the printer I have to arrange that you can print.
[4734.38s -> 4739.38s]  Uh-huh.
[4739.38s -> 4741.38s]  This is...
[4741.38s -> 4743.38s]  It is very easy for me if I can.
[4743.38s -> 4750.38s]  For example, the Enterprise Architects is not already here, I think.
[4750.38s -> 4751.38s]  No.
[4751.38s -> 4752.38s]  Okay.
[4752.38s -> 4757.38s]  And the Office Enterprise Architects.
[4757.38s -> 4759.38s]  The tool that I can...
[4759.38s -> 4761.38s]  You have to ask tomorrow to Chris.
[4761.38s -> 4762.38s]  Yeah.
[4762.38s -> 4763.38s]  Yes.
[4763.38s -> 4764.38s]  With another software.
[4764.38s -> 4765.38s]  Uh-huh.
[4765.38s -> 4766.38s]  Uh-huh.
[4766.38s -> 4767.38s]  It's very important to...
[4767.38s -> 4768.38s]  Yeah.
[4768.38s -> 4769.38s]  And then we ask this software.
[4769.38s -> 4770.38s]  Then we ask it.
[4770.38s -> 4771.38s]  Yeah.
[4771.38s -> 4772.38s]  And then you will have it the day after.
[4772.38s -> 4773.38s]  Uh-huh.
[4773.38s -> 4774.38s]  Because...
[4774.38s -> 4775.38s]  It will be installed.
[4775.38s -> 4776.38s]  Yeah.
[4776.38s -> 4777.38s]  I can show you what Chris already has.
[4777.38s -> 4778.38s]  You don't...
[4778.38s -> 4779.38s]  Right.
[4779.38s -> 4780.38s]  Okay.
[4780.38s -> 4781.38s]  Okay.
[4781.38s -> 4782.38s]  Okay.
[4782.38s -> 4783.38s]  Let me see.
[4783.38s -> 4784.38s]  This one.
[4784.38s -> 4785.38s]  This one?
[4785.38s -> 4786.38s]  Yeah, look.
[4786.38s -> 4787.38s]  This is what...
[4787.38s -> 4788.38s]  What's that?
[4788.38s -> 4789.38s]  I don't know.
[4789.38s -> 4790.38s]  Yeah.
[4790.38s -> 4791.38s]  You don't have to...
[4791.38s -> 4792.38s]  You have to have the same license.
[4792.38s -> 4793.38s]  Yeah.
[4793.38s -> 4798.38s]  ...
[4798.38s -> 4805.38s]  ...
[4805.38s -> 4806.38s]  ...
[4806.38s -> 4809.38s]  ...
[4809.38s -> 4810.38s]  ...
[4810.38s -> 4817.18s]  the enterprise architect already made so this is what you saw in the document of the ecb
[4817.82s -> 4825.10s]  yeah this is what he made of it's a simplified version and this is what we already
[4827.58s -> 4831.90s]  created yeah uh who is created this skipper
[4833.34s -> 4840.06s]  chris from capella is the enterprise architect so this is quite conceptual okay data model that
[4840.06s -> 4845.10s]  he will explain tomorrow to you and which you can further work on
[4847.02s -> 4852.94s]  can i have this uh document of course it's uh it's like everything it's
[4857.02s -> 4863.18s]  data models final ids compliance simple version and that's probably a complex version
[4867.02s -> 4867.74s]  more versions
[4870.06s -> 4872.06s]  okay
[4876.30s -> 4884.54s]  these are the solo templates for one solid data template yeah now in the past
[4885.98s -> 4891.90s]  the regulator said for to report on a single entity all the kinds of single entity have to
[4891.90s -> 4899.66s]  use these templates if you want you also have to consolidate on kvc back level for example all the
[4900.06s -> 4906.30s]  these belong to kbc bank consolidated you have to use other templates and now in the final version
[4906.30s -> 4913.18s]  of the legal texts they said no no just use the same templates for all solo and consolidated
[4913.18s -> 4918.94s]  so this is outdated yeah that's why it is uh and this is uh
[4924.94s -> 4928.94s]  but he will explain tomorrow yeah but i will this one
[4930.06s -> 4933.42s]  is interesting because you can share the final
[4937.34s -> 4939.82s]  link and go back
[4943.42s -> 4948.06s]  share it right now
[4954.70s -> 4954.94s]  so
[4954.94s -> 4958.06s]  um
[4960.06s -> 4964.06s]  so
[4964.06s -> 4972.06s]  um
[4972.06s -> 4974.06s]  um
[4974.06s -> 4978.06s]  um
[4978.06s -> 4980.06s]  um
[4980.06s -> 4982.06s]  um
[4982.06s -> 4984.06s]  um
[4984.06s -> 4986.06s]  um
[4986.06s -> 4988.06s]  um
[4988.06s -> 4990.06s]  um
[4990.06s -> 4994.06s]  um
[4994.06s -> 4996.06s]  um
[4996.06s -> 4998.06s]  um
[4998.06s -> 5000.06s]  um
[5000.06s -> 5014.06s]  um
[5014.06s -> 5018.06s]  yeah
[5018.06s -> 5023.34s]  to simply feed output for yes this analysis of the document yes that's what
[5023.34s -> 5027.14s]  the enterprise architect made of it
[5028.46s -> 5032.16s]  I think this
[5033.92s -> 5039.94s]  no no no it's I don't know how we know if you just ask if I say enterprise
[5039.94s -> 5045.52s]  architect I mean Chris his role his role not the software okay I yes yes no
[5045.52s -> 5053.28s]  problem okay okay okay
[5053.64s -> 5068.20s]  the division with the newsgroups can maybe have a I don't know if he has made
[5068.20s -> 5073.84s]  you okay we have to ask tomorrow okay so I will ask tomorrow yeah okay we see
[5073.84s -> 5075.52s]  together almost all day
[5075.52s -> 5085.62s]  with him okay but I think I will need the world for points and I don't why I
[5085.62s -> 5103.64s]  cannot have access to this okay so it's not it's not in your go to find something
[5103.64s -> 5105.52s]  I already
[5105.52s -> 5115.62s]  mm-hmm going here okay so you had don't have the access yes
[5115.62s -> 5121.22s]  right so I will ask and then I will make sure
[5129.54s -> 5132.54s]  teams
[5132.54s -> 5137.40s]  us
[5141.44s -> 5143.48s]  you
[5147.48s -> 5158.76s]  Okay
[5158.76s -> 5161.36s]  and
[5161.36s -> 5161.86s]  yes yes yes yes yes ah ah
[5161.86s -> 5161.96s]  I agree Yes, yes yes Yes. Yes yes yes yes yes yes yes yes. Yes. Yes. I
[5161.96s -> 5177.82s]  the resolution is
[5177.82s -> 5182.74s]  I will check this later
[5188.52s -> 5189.08s]  ok
[5189.08s -> 5190.24s]  I have an online version
[5190.24s -> 5193.24s]  but not the local
[5193.24s -> 5197.40s]  so we need to ask
[5197.40s -> 5200.16s]  I checked
[5200.16s -> 5201.56s]  ok, no problem
[5201.56s -> 5205.68s]  and I
[5205.68s -> 5207.70s]  ask Chris tomorrow for
[5207.70s -> 5210.24s]  a software like Enterprise Architects
[5210.86s -> 5212.28s]  to get it on my
[5212.28s -> 5213.48s]  machine, maybe
[5220.24s -> 5227.24s]  I think I have access to my drive
[5227.24s -> 5228.24s]  ok
[5228.24s -> 5229.24s]  ok
[5229.24s -> 5230.24s]  ok
[5230.24s -> 5231.24s]  ok
[5231.24s -> 5232.24s]  ok
[5232.24s -> 5233.24s]  ok
[5233.24s -> 5234.24s]  ok
[5234.24s -> 5235.24s]  ok
[5235.24s -> 5236.24s]  ok
[5236.24s -> 5237.24s]  ok
[5237.24s -> 5238.24s]  ok
[5238.24s -> 5239.24s]  ok
[5239.24s -> 5240.24s]  ok
[5240.24s -> 5241.24s]  ok
[5241.24s -> 5242.24s]  ok
[5242.24s -> 5243.24s]  ok
[5243.24s -> 5244.24s]  ok
[5244.24s -> 5245.24s]  ok
[5245.24s -> 5246.24s]  ok
[5246.24s -> 5247.24s]  ok
[5247.24s -> 5248.24s]  ok
[5248.24s -> 5249.24s]  ok
[5249.24s -> 5250.24s]  ok
[5250.24s -> 5252.24s]  ok
[5252.24s -> 5253.24s]  ok
[5253.24s -> 5254.24s]  ok
[5254.24s -> 5255.24s]  ok
[5255.24s -> 5256.24s]  ok
[5256.24s -> 5257.24s]  ok
[5257.24s -> 5258.24s]  ok
[5258.24s -> 5259.24s]  ok
[5259.24s -> 5260.24s]  soon
[5260.24s -> 5261.00s]  ok
[5261.00s -> 5262.00s]  ok
[5262.00s -> 5263.00s]  ok
[5263.00s -> 5264.00s]  ok
[5264.00s -> 5265.00s]  ok
[5265.00s -> 5266.00s]  ok
[5266.00s -> 5267.00s]  ok
[5267.00s -> 5268.00s]  ok
[5268.00s -> 5269.00s]  ok
[5269.00s -> 5270.00s]  ok
[5270.00s -> 5271.00s]  ok
[5271.00s -> 5272.00s]  good
[5272.00s -> 5273.00s]  ok
[5273.00s -> 5274.00s]  ok
[5274.00s -> 5275.00s]  ummm
[5275.00s -> 5276.00s]  oh
[5276.00s -> 5277.00s]  it's good
[5277.00s -> 5278.14s]  ah
[5278.14s -> 5279.38s]  let's see
[5279.38s -> 5280.18s]  xuxx
[5280.24s -> 5302.52s]  how is this software called enterprise
[5302.52s -> 5312.60s]  is
[5329.00s -> 5330.60s]  um
[5332.52s -> 5338.52s]  Sparx is an Enterprise Architect, this is a logo.
[5350.52s -> 5352.52s]  Sparx Enterprise Architect.
[5352.52s -> 5354.52s]  This is a logo.
[5362.52s -> 5387.52s]  Sparx Enterprise now for Mir.
[5387.52s -> 5391.52s]  Mir, yes you are here.
[5391.52s -> 5392.52s]  Sparx Enterprise.
[5392.52s -> 5393.52s]  Thank you.
[5393.52s -> 5396.52s]  Mir, Motivation.
[5401.52s -> 5403.52s]  Continue.
[5403.52s -> 5405.52s]  Analyzes.
[5412.52s -> 5414.52s]  Action.
[5414.52s -> 5416.52s]  Delays.
[5416.52s -> 5417.52s]  Environment.
[5417.52s -> 5419.52s]  Production.
[5419.52s -> 5421.52s]  Enterprise.
[5422.52s -> 5423.52s]  Yeah.
[5423.52s -> 5431.52s]  Proceed to check out.
[5431.52s -> 5436.52s]  Okay, done.
[5436.52s -> 5441.52s]  Okay, it's asked.
[5441.52s -> 5444.52s]  Okay, it's asked.
[5444.52s -> 5446.52s]  Mm-hmm.
[5446.52s -> 5448.52s]  No.
[5448.52s -> 5450.52s]  No.
[5450.52s -> 5451.52s]  No.
[5451.52s -> 5452.52s]  No.
[5452.52s -> 5454.52s]  Only data made along the data.
[5454.52s -> 5455.52s]  Baby.
[5455.52s -> 5456.52s]  Baby.
[5456.52s -> 5457.52s]  Baby.
[5457.52s -> 5458.52s]  Baby.
[5458.52s -> 5459.52s]  Baby.
[5459.52s -> 5460.52s]  Baby.
[5460.52s -> 5461.52s]  Baby.
[5461.52s -> 5462.52s]  Baby.
[5462.52s -> 5463.52s]  001?
[5463.52s -> 5464.52s]  Mm-hmm.
[5464.52s -> 5465.52s]  также a Vision.
[5465.52s -> 5466.52s]  Viewing?
[5466.52s -> 5467.52s]  Mm-hmm.
[5467.52s -> 5468.52s]  gere acontecer?
[5468.52s -> 5469.52s]  0 Christos Provision?
[5469.52s -> 5470.52s]  You want to go.
[5470.52s -> 5471.52s]  Office Provision.
[5471.52s -> 5472.52s]  You found it and?
[5472.52s -> 5473.52s]  ...
[5473.52s -> 5474.52s]  Finally!
[5474.52s -> 5475.52s]  Another.
[5475.52s -> 5476.52s]  I don't think.
[5476.52s -> 5477.52s]  OK.
[5477.52s -> 5478.52s]  Amazing work.
[5478.52s -> 5480.52s]  Muchas gracias.
[5480.52s -> 5481.52s]  Okay.
[5481.52s -> 5511.50s]  Thank you.
[5511.52s -> 5541.50s]  Thank you.
[5541.52s -> 5571.50s]  Thank you.
[5571.52s -> 5594.14s]  And then just make a list of tools, what you think you need, and we'll see if we have it in the catalog, and it will be next day available if we have it.
[5594.64s -> 5595.96s]  Okay, I will check.
[5597.92s -> 5598.84s]  I will check.
[5601.02s -> 5601.50s]  But...
[5601.50s -> 5604.20s]  The office, everything from office will be...
[5604.20s -> 5604.98s]  Would be, okay.
[5604.98s -> 5606.06s]  Yeah, will be okay, yeah.
[5606.66s -> 5608.18s]  I will check it in the afternoon.
[5609.84s -> 5612.18s]  I suppose we go first for lunch?
[5612.92s -> 5613.94s]  Mm-hmm, right.
[5615.20s -> 5615.48s]  Mm-hmm.
[5618.74s -> 5620.24s]  If that's okay with you.
[5620.24s -> 5626.24s]  Mm-hmm.
[5631.50s -> 5659.04s]  Mm-hmm.
[5659.04s -> 5659.24s]  Mm-hmm.
[5659.24s -> 5660.40s]  Mm-hmm.
[5660.40s -> 5660.58s]  Mm-hmm.
[5660.58s -> 5660.66s]  Mm-hmm.
[5660.66s -> 5660.70s]  Mm-hmm.
[5660.70s -> 5660.80s]  Mm-hmm.
[5660.80s -> 5660.82s]  Mm-hmm.
[5660.82s -> 5660.84s]  Mm-hmm.
[5660.84s -> 5660.90s]  Mm-hmm.
[5660.90s -> 5660.92s]  Mm-hmm.
[5660.92s -> 5660.98s]  Mm-hmm.
[5660.98s -> 5661.04s]  Mm-hmm.
[5661.04s -> 5661.08s]  Mm-hmm.
[5661.50s -> 5691.48s]  Thank you.
[5691.50s -> 5708.02s]  Okay, we're starting by reading these documents, okay, and understanding the existing needs, analyzing the needs.
[5709.70s -> 5721.32s]  Tomorrow I will meet Chris to understand the Aziz.
[5721.50s -> 5723.18s]  The Aziz, yeah.
[5724.16s -> 5730.62s]  And if you, depending on how far you are already with the documents, going through the documents,
[5732.06s -> 5734.74s]  then the meeting will be more useful even.
[5737.96s -> 5740.96s]  It's a lot of information on a very short notice, of course.
[5741.10s -> 5742.08s]  It's very short, yes.
[5742.94s -> 5743.94s]  Very short time.
[5743.94s -> 5744.78s]  Very short time.
[5747.30s -> 5750.34s]  But they have my...
[5750.34s -> 5750.84s]  Any questions?
[5751.50s -> 5758.62s]  I have my procedures and my habits to summarizing information on my private machine.
[5759.42s -> 5765.70s]  And I need to use my methodology to understanding the PDF, for example, here.
[5766.20s -> 5771.00s]  Because here is 113 pages.
[5772.30s -> 5776.94s]  And I use my mapping approach.
[5777.26s -> 5781.36s]  And my mapping, I have my tools.
[5781.50s -> 5790.42s]  For example, MindManager is an interesting software to summarizing this.
[5790.42s -> 5793.86s]  And I need to have this PDF on my private machine.
[5794.04s -> 5804.40s]  If I cannot install these tools on this machine, this will take a lot of time to understand this.
[5805.02s -> 5805.42s]  Because I...
[5806.64s -> 5809.42s]  For example, I have...
[5809.42s -> 5811.32s]  Okay, you can see this.
[5811.50s -> 5813.18s]  For example, MindManager.
[5817.26s -> 5817.78s]  MindManager.
[5820.74s -> 5821.34s]  Okay.
[5823.20s -> 5826.42s]  Snagit, for example, for Snagit.
[5826.68s -> 5829.42s]  This is another tool for...
[5832.88s -> 5833.44s]  For...
[5833.44s -> 5837.30s]  I take a screen and I put steps one, two, three.
[5837.54s -> 5838.08s]  Yeah, yeah, yeah.
[5838.38s -> 5840.50s]  To communicate with the other person.
